load_time,date,province,case_cumulative,recovered_cumulative,death_cumulative,geometry_x,geometry_y
2020-04-03 01:17:47 UTC,2020-04-03,Sulawesi Selatan,66,0,5,1521596.837753321,9580452.7877122425
2020-04-03 01:17:47 UTC,2020-04-03,Jawa Tengah,104,0,7,411808.8152425295,9197545.0065468252
2020-04-03 01:17:47 UTC,2020-04-03,Jawa Timur,104,22,11,691206.346199013,9146255.1901167277
2020-04-03 01:17:47 UTC,2020-04-03,Banten,164,7,14,-41440.9987229228,9283764.4809985738
2020-04-03 01:17:47 UTC,2020-04-03,Jawa Barat,223,11,25,124497.9591022721,9233754.6046786122
2020-04-03 01:17:47 UTC,2020-04-03,DKI Jakarta,897,52,90,37864.3075122269,9316027.7344999332
2020-04-05 01:00:13 UTC,2020-04-05,Sumatera Barat,8,0,0,-678652.41465160879,9904212.9756396543
2020-04-05 01:00:13 UTC,2020-04-05,Jambi,2,0,0,-325494.82600698748,9819678.0331225637
2020-04-05 01:00:13 UTC,2020-04-05,Nusa Tenggara Barat,7,0,0,1217435.4184396823,9042518.5909015369
2020-04-05 01:00:13 UTC,2020-04-05,Nusa Tenggara Timur,0,0,0,1621557.2390981731,9033865.62245923
2020-04-05 01:00:13 UTC,2020-04-05,Kalimantan Selatan,8,0,0,979759.44049741281,9728451.5041525159
2020-04-05 01:00:13 UTC,2020-04-05,Kalimantan Utara,8,0,0,1080561.3798756762,10320639.045096194
2020-04-05 01:00:13 UTC,2020-04-05,Sulawesi Tengah,4,0,0,1555988.7996185874,9836479.5651529916
2020-04-05 01:00:13 UTC,2020-04-05,Gorontalo,0,0,0,1852213.967003379,10060711.80270954
2020-04-05 01:00:13 UTC,2020-04-05,Sulawesi Barat,1,0,0,1430874.0731538553,9724957.0154999942
2020-04-05 01:00:13 UTC,2020-04-05,Maluku Utara,1,0,0,2421875.6040349426,10100517.892677717
2020-04-05 01:00:13 UTC,2020-04-05,Indonesia,37,0,0,824555.66561042564,9890452.4832352623
2020-04-05 01:00:13 UTC,2020-04-05,Riau,10,1,0,-526692.9732173899,10057166.718500379
2020-04-05 01:00:13 UTC,2020-04-05,Sulawesi Utara,3,1,0,2020059.4434185119,10146240.802463967
2020-04-05 01:00:13 UTC,2020-04-05,Sulawesi Tenggara,5,1,0,1737300.3400363862,9534489.4318688475
2020-04-05 01:00:13 UTC,2020-04-05,Maluku,1,1,0,2575900.464412041,9635838.1970520616
2020-04-05 01:00:13 UTC,2020-04-05,Kalimantan Tengah,11,2,0,742656.86106739554,9819224.05473335
2020-04-05 01:00:13 UTC,2020-04-05,Aceh,5,0,1,-1079619.7505195325,10481540.838557173
2020-04-05 01:00:13 UTC,2020-04-05,Bengkulu,2,0,1,-473856.28404502949,9576018.2041059528
2020-04-05 01:00:13 UTC,2020-04-05,Kepulauan Bangka Belitung,2,0,1,-58113.9834185409,9750017.6446174271
2020-04-05 01:00:13 UTC,2020-04-05,Lampung,11,0,1,-164375.94121973051,9453410.3507901337
2020-04-05 01:00:13 UTC,2020-04-05,Papua Barat,2,0,1,3005411.1970494082,9756542.187865112
2020-04-05 01:00:13 UTC,2020-04-05,Kalimantan Timur,24,1,1,1109683.2799407991,10051194.23595285
2020-04-05 01:00:13 UTC,2020-04-05,Kepulauan Riau,8,2,1,189276.93634231281,10433354.998017654
2020-04-05 01:00:13 UTC,2020-04-05,Papua,18,3,1,3860042.3514111759,9367964.9766004756
2020-04-05 01:00:13 UTC,2020-04-05,Sumatera Selatan,12,1,2,-260578.41738994009,9642274.76663132
2020-04-05 01:00:13 UTC,2020-04-05,Kalimantan Barat,10,2,2,513437.82667791622,9990505.3113515247
2020-04-05 01:00:13 UTC,2020-04-05,Bali,32,10,2,955265.4725940472,9072433.6251062155
2020-04-05 01:00:13 UTC,2020-04-05,Sumatera Utara,25,0,3,-837656.655154198,10246858.783830017
2020-04-05 01:00:13 UTC,2020-04-05,Daerah Istimewa Yogyakarta,33,1,3,438863.43156352767,9127267.8585260231
2020-04-05 01:00:13 UTC,2020-04-05,Sulawesi Selatan,82,9,5,1521596.837753321,9580452.7877122425
2020-04-05 01:00:13 UTC,2020-04-05,Jawa Timur,152,29,14,691206.346199013,9146255.1901167277
2020-04-05 01:00:13 UTC,2020-04-05,Banten,173,7,17,-41440.9987229228,9283764.4809985738
2020-04-05 01:00:13 UTC,2020-04-05,Jawa Tengah,120,11,18,411808.8152425295,9197545.0065468233
2020-04-05 01:00:13 UTC,2020-04-05,Jawa Barat,247,12,28,124497.9591022721,9233754.6046786122
2020-04-05 01:00:13 UTC,2020-04-05,DKI Jakarta,1028,56,89,37864.3075122269,9316027.7344999313
2020-04-06 11:26:38 UTC,2020-04-06,Sumatera Barat,8,0,0,-678652.41465160879,9904212.9756396543
2020-04-06 11:26:38 UTC,2020-04-06,Jambi,2,0,0,-325494.82600698748,9819678.0331225637
2020-04-06 11:26:38 UTC,2020-04-06,Nusa Tenggara Barat,7,0,0,1217435.4184396823,9042518.5909015369
2020-04-06 11:26:38 UTC,2020-04-06,Nusa Tenggara Timur,0,0,0,1621557.2390981733,9033865.62245923
2020-04-06 11:26:38 UTC,2020-04-06,Kalimantan Selatan,16,0,0,979759.44049741281,9728451.5041525159
2020-04-06 11:26:38 UTC,2020-04-06,Kalimantan Utara,8,0,0,1080561.3798756762,10320639.045096194
2020-04-06 11:26:38 UTC,2020-04-06,Sulawesi Tengah,4,0,0,1555988.7996185874,9836479.5651529916
2020-04-06 11:26:38 UTC,2020-04-06,Gorontalo,0,0,0,1852213.967003379,10060711.80270954
2020-04-06 11:26:38 UTC,2020-04-06,Sulawesi Barat,2,0,0,1430874.0731538553,9724957.0154999942
2020-04-06 11:26:38 UTC,2020-04-06,Maluku Utara,1,0,0,2421875.6040349426,10100517.892677717
2020-04-06 11:26:38 UTC,2020-04-06,Indonesia,42,0,0,824555.66561042564,9890452.4832352623
2020-04-06 11:26:38 UTC,2020-04-06,Riau,11,1,0,-526692.9732173899,10057166.718500379
2020-04-06 11:26:38 UTC,2020-04-06,Sulawesi Utara,3,1,0,2020059.4434185119,10146240.802463969
2020-04-06 11:26:38 UTC,2020-04-06,Sulawesi Tenggara,6,1,0,1737300.3400363862,9534489.4318688475
2020-04-06 11:26:38 UTC,2020-04-06,Maluku,1,1,0,2575900.464412041,9635838.1970520616
2020-04-06 11:26:38 UTC,2020-04-06,Kalimantan Tengah,11,4,0,742656.86106739554,9819224.05473335
2020-04-06 11:26:38 UTC,2020-04-06,Aceh,5,0,1,-1079619.7505195325,10481540.838557171
2020-04-06 11:26:38 UTC,2020-04-06,Bengkulu,2,0,1,-473856.28404502949,9576018.2041059528
2020-04-06 11:26:38 UTC,2020-04-06,Kepulauan Bangka Belitung,2,0,1,-58113.9834185409,9750017.6446174271
2020-04-06 11:26:38 UTC,2020-04-06,Lampung,11,0,1,-164375.94121973051,9453410.3507901337
2020-04-06 11:26:38 UTC,2020-04-06,Papua Barat,2,0,1,3005411.1970494082,9756542.187865112
2020-04-06 11:26:38 UTC,2020-04-06,Kalimantan Timur,30,1,1,1109683.2799407991,10051194.23595285
2020-04-06 11:26:38 UTC,2020-04-06,Kepulauan Riau,9,2,1,189276.93634231281,10433354.998017654
2020-04-06 11:26:38 UTC,2020-04-06,Papua,26,3,1,3860042.3514111759,9367964.9766004756
2020-04-06 11:26:38 UTC,2020-04-06,Sumatera Selatan,16,1,2,-260578.41738994009,9642274.76663132
2020-04-06 11:26:38 UTC,2020-04-06,Kalimantan Barat,10,2,2,513437.82667791622,9990505.3113515247
2020-04-06 11:26:38 UTC,2020-04-06,Bali,35,18,2,955265.4725940472,9072433.6251062155
2020-04-06 11:26:38 UTC,2020-04-06,Daerah Istimewa Yogyakarta,34,1,3,438863.43156352767,9127267.8585260231
